customer_id,name,email,quality_score,total_transactions,successful_transactions,failed_transactions,average_transaction_value,lifetime_value
59,Kimberly Jordan,johnsondenise@example.net,0.958,5,4,1,4456.07,17824.26
60,Marvin Hill,adam59@example.org,0.621,16,9,7,538.73,4848.57
61,Seth Perez,kimmccall@example.org,0.708,24,17,7,3450.41,58656.94
62,Shane Luna,elizabethtucker@example.com,0.588,12,7,5,2053.29,14373.05
63,Dr. Jesse Frank,alexander35@example.org,0.843,26,21,5,3471.75,72906.66
64,Elizabeth Martinez,whudson@example.net,0.752,45,33,12,4695.91,154965.07
65,Courtney Jordan,anna35@example.com,0.803,37,29,8,3802.95,110285.57
66,Susan Mora,debbie78@example.com,0.768,32,24,8,4320.38,103689.15
67,Robert Brown,hmiller@example.com,0.884,17,15,2,2764.77,41471.58
68,Nicholas Baxter,kenneth99@example.net,0.416,36,14,22,252.02,3528.29
69,Julian Bonilla,isabellafitzgerald@example.com,0.782,47,36,11,599.77,21591.55
70,Elizabeth Johnson,swright@example.org,0.861,23,19,4,3950.22,75054.2
71,Nichole Alexander,anitasmith@example.com,0.813,44,35,9,4360.97,152633.94
72,Michaela Cortez,karen32@example.org,0.527,27,14,13,3589.96,50259.48
73,Kyle Mahoney,carl75@example.com,0.872,4,3,1,1881.05,5643.14
74,Melissa Reed,adriannelson@example.net,0.444,10,4,6,4550.5,18202.0
75,Susan Smith,andersonalexander@example.net,0.872,20,17,3,770.33,13095.54
76,Jennifer Warner,mcleanalan@example.com,0.869,49,42,7,597.88,25110.89
77,Keith Nelson,michaeljones@example.org,0.221,45,9,36,407.17,3664.51
78,Justin Patterson,znguyen@example.com,0.595,35,20,15,3537.97,70759.47
79,Brian Williams,millercheryl@example.org,0.825,3,2,1,4525.56,9051.12
80,Daniel Blake,johnfletcher@example.com,0.931,26,24,2,2063.69,49528.52
81,Allison Scott,crystal06@example.com,0.806,27,21,6,3551.18,74574.7
82,Darren Soto,hholt@example.net,0.428,29,12,17,839.29,10071.46
83,Timothy Hernandez,mckayanthony@example.net,0.971,30,29,1,4357.11,126356.09
84,Janice Ellis MD,hardinandrew@example.org,0.872,21,18,3,3797.98,68363.57
85,Richard Thompson,johnsonheather@example.net,0.861,41,35,6,2191.13,76689.68
86,Michael Nguyen,harveyjohn@example.com,0.735,31,22,9,3799.57,83590.58
87,Jay Cook,wruiz@example.net,0.631,19,11,8,1387.27,15259.98
88,Abigail Mcclain,howardcatherine@example.net,0.646,1,0,1,3424.16,0.0
89,James Harding,madisonarias@example.net,0.346,34,11,23,2485.81,27343.92
90,Derek Smith,phenderson@example.net,0.539,30,16,14,4407.94,70527.0
91,Crystal Lawson,zacharylee@example.net,0.675,21,14,7,3268.93,45765.08
92,Ricky Carroll,warrenjoshua@example.com,0.747,15,11,4,2299.88,25298.68
93,George Johnson,deborahheath@example.org,0.597,30,17,13,3186.02,54162.27
94,Jeremy Keller,hullcynthia@example.net,0.539,2,1,1,1778.01,1778.01
95,Kimberly Phillips,xjones@example.org,0.469,16,7,9,929.13,6503.93
96,Sandra Allen,kathleenyoung@example.net,0.884,3,2,1,4396.72,8793.45
97,Todd Pruitt,haleysavannah@example.org,0.773,21,16,5,1010.89,16174.21
98,Kimberly Kennedy,osbornecheryl@example.org,0.749,41,30,11,1908.76,57262.77
99,Michael Gonzalez,lperry@example.net,0.814,22,17,5,592.44,10071.54
100,Brandi West,hallmelissa@example.com,0.76,15,11,4,2775.64,30531.99
101,Megan Mason,john43@example.net,0.725,2,1,1,3787.86,3787.86
102,Katelyn Miller,jalexander@example.net,0.741,45,33,12,4362.63,143966.85
103,Jill Lopez,kathleen18@example.org,0.892,28,24,4,296.34,7112.2
104,Lindsay Burton,awagner@example.org,0.74,17,12,5,1846.05,22152.59
105,Stacey Simon,knoxstephen@example.org,0.53,36,19,17,2778.11,52784.12
106,Leslie Decker,hdavis@example.net,0.781,41,32,9,1819.74,58231.83
107,Edwin Frey,christine62@example.org,0.633,6,3,3,3107.72,9323.16
108,Meredith Duke,timothy00@example.org,0.74,4,2,2,4283.92,8567.85
109,Betty Mcbride,chansen@example.org,0.617,49,30,19,2555.59,76667.82
110,Andrew Wagner,marshallandrew@example.net,0.726,26,18,8,1543.9,27790.19
111,Joshua Miller,kristinadavis@example.net,0.573,33,18,15,3733.99,67211.76
112,Mr. Paul Baldwin,candace65@example.net,0.83,11,9,2,4673.67,42063.02
113,Robert Green,kristen24@example.com,0.958,5,4,1,504.2,2016.8
114,Julie Holder,andrea59@example.com,0.55,11,6,5,2471.2,14827.19
115,Carla Parker,richardlewis@example.com,0.774,44,34,10,2160.89,73470.19
116,Lisa Sullivan,melissaknox@example.com,0.875,29,25,4,870.91,21772.69
117,Jonathan Martinez,jkelly@example.com,0.579,5,2,3,1331.32,2662.64
118,Patricia Cole,bautistadawn@example.net,0.764,18,13,5,4119.68,53555.81
119,Brandon Richardson,tara00@example.org,0.69,23,15,8,2305.97,34589.62
120,Tiffany Chan,ramirezcourtney@example.org,0.338,40,13,27,1299.32,16891.18
121,Jasmine Harris,kevin85@example.org,0.228,42,9,33,868.51,7816.55
122,Douglas Williams,vburton@example.org,0.603,36,21,15,4988.92,104767.42
123,Alexis Harris,jennifer31@example.org,0.667,4,2,2,2935.47,5870.94
124,Paula Austin,jeffersonpatricia@example.org,0.73,31,22,9,2018.34,44403.56
125,Benjamin Martinez,gomezclaudia@example.net,0.94,29,27,2,1300.41,35110.98
126,Joshua Hunt,anthonypratt@example.net,0.684,36,24,12,3637.66,87303.83
127,John Brown,brownkathryn@example.net,0.78,6,4,2,2124.09,8496.35
128,Matthew Fisher,michael07@example.com,0.796,18,14,4,3134.98,43889.72
129,Natalie Mahoney,hailey38@example.net,0.638,8,5,3,3326.56,16632.81
130,James Harrison,matthewarnold@example.com,0.467,14,6,8,4684.96,28109.77
131,Morgan Martinez,whiteamanda@example.net,0.607,46,27,19,1094.34,29547.19
132,James Delgado,jmckenzie@example.net,0.536,15,8,7,2115.21,16921.7
133,Jeffrey Ramirez,perezmathew@example.net,0.787,41,32,9,748.48,23951.46
134,Michael Sanchez,crystal26@example.net,0.843,27,22,5,3740.01,82280.13
135,Melissa Avila,timothy66@example.com,0.61,24,14,10,2972.63,41616.87
136,Tamara Martinez,theodore30@example.org,0.888,21,18,3,2672.83,48111.01
137,Deborah Fitzgerald,anna80@example.org,0.668,40,26,14,2610.54,67873.94
138,Gregg Brown,cody29@example.net,0.642,19,12,7,1877.06,22524.69
139,Michael Miller,gabrieljohnson@example.org,0.917,19,17,2,515.4,8761.82
140,Aaron Woods,abigail37@example.org,0.481,30,14,16,2886.27,40407.83
141,Victoria Callahan,heather54@example.org,0.763,32,24,8,1507.05,36169.17
142,Gerald Williams,kristinareynolds@example.org,0.599,32,19,13,3636.67,69096.67
143,Shawn Romero,gvaldez@example.com,0.724,8,5,3,699.72,3498.61
144,Matthew Young,dawn58@example.org,0.603,34,20,14,4065.51,81310.24
145,Dennis Cortez,taylorvictoria@example.org,0.729,37,26,11,877.19,22807.01
146,Cheryl Taylor,collinsjessica@example.net,0.714,33,23,10,1197.85,27550.64
147,Tyrone Jimenez,rodriguezashley@example.net,0.271,20,5,15,1812.16,9060.78
148,Taylor Anderson,robinsondouglas@example.org,0.517,37,19,18,2165.18,41138.34
149,Jessica Carter,bradgalloway@example.org,0.227,22,5,17,3942.84,19714.21
150,Crystal Smith,carrolljacob@example.org,0.878,32,28,4,2241.02,62748.7
151,Michael Turner,derek50@example.org,0.804,43,34,9,2224.18,75622.08
152,Daniel Sampson,kathryngood@example.com,0.673,42,28,14,2967.28,83083.81
153,Erik Carrillo,christina02@example.net,0.95,23,21,2,711.58,14943.14
154,Karen Marshall,christian47@example.com,0.798,34,27,7,3082.48,83226.99
155,Regina Smith,lbeard@example.net,0.538,28,15,13,3900.37,58505.62
156,Jennifer Wood,michael34@example.net,0.712,36,25,11,3900.73,97518.31
157,Greg Johnson,davisjason@example.net,0.816,34,27,7,2103.92,56805.76
158,Susan Ashley,johnsoncaleb@example.org,0.545,43,23,20,4262.76,98043.43
159,Sara Burns,klogan@example.com,0.355,1,0,1,2578.36,0.0
160,Samantha Foster,wmullins@example.net,0.395,37,14,23,211.23,2957.21
161,Brian Yates,nrodriguez@example.net,0.809,17,13,4,4761.14,61894.81
162,Gina Stephens,haneyelizabeth@example.org,0.629,8,5,3,3266.96,16334.79
163,Natasha Erickson,obrown@example.net,0.676,18,12,6,2549.24,30590.88
164,John Delacruz,jaime12@example.com,0.744,7,5,2,362.94,1814.7
165,Amber Pitts,apruitt@example.org,0.44,23,10,13,4017.64,40176.41
166,Aaron Martinez,davidburns@example.org,0.725,3,2,1,3542.19,7084.37
167,Lindsay Montgomery,dwoods@example.com,0.531,49,26,23,2784.33,72392.51
168,Emily Peterson,jschneider@example.org,0.727,44,32,12,1318.21,42182.58
169,Gary Miller,jack83@example.net,0.842,35,29,6,536.14,15548.14
170,Donna Rollins,pottermichele@example.com,0.818,44,36,8,4923.6,177249.62
171,Thomas Garcia,greenjorge@example.org,0.922,30,27,3,216.06,5833.69
172,Karen Holmes,derrickjohnson@example.com,0.384,37,14,23,402.05,5628.66
173,Tracy Nunez,asalazar@example.com,0.698,24,16,8,797.3,12756.8
174,Jackson Clark,vdavis@example.net,0.844,39,32,7,4419.77,141432.57
175,Timothy Clements,ericabennett@example.com,0.494,4,1,3,1312.02,1312.02
176,Dalton Rojas,april02@example.com,0.479,10,4,6,425.34,1701.35
177,Matthew Benson,mariajackson@example.com,0.795,23,18,5,4442.17,79959.1
178,Corey Cross,mahoneythomas@example.org,0.579,24,13,11,4507.69,58600.02
179,Scott Manning,stephaniehale@example.net,0.46,4,1,3,2984.41,2984.41
180,Ruben Hayes,wsoto@example.net,0.836,9,7,2,413.01,2891.06
181,Donna Flores,jbell@example.org,0.793,11,8,3,617.54,4940.29
182,Gabriella Morgan,calvin79@example.com,0.906,26,23,3,2756.49,63399.32
183,Dr. Caitlin Lopez,michele50@example.net,0.654,3,1,2,1869.48,1869.48
184,Danielle Taylor,sandrabuckley@example.org,0.958,19,18,1,4367.17,78609.09
185,Stephanie Lopez,larsonandrea@example.com,0.81,45,36,9,3547.86,127723.07
186,Jason Rivera,mary02@example.org,0.497,43,21,22,4814.31,101100.58
187,Monica Jackson,keypaul@example.net,0.854,18,15,3,4126.24,61893.63
188,Christina Macias,allencharles@example.com,0.816,46,37,9,1766.88,65374.6
189,Adam Nguyen,wcurtis@example.org,0.779,45,35,10,3943.26,138014.03
190,Daniel Conner,vgibson@example.net,0.6,28,16,12,3236.59,51785.36
191,Eddie White,garciahannah@example.net,0.886,17,15,2,3900.72,58510.87
192,Todd Thomas,pwebb@example.com,0.847,18,15,3,4383.38,65750.65
193,Jennifer Smith,glee@example.org,0.677,11,7,4,4143.26,29002.84
194,Michael Jones,longjoshua@example.org,0.778,34,26,8,1513.41,39348.61
195,Patricia Jackson,rmckinney@example.net,0.94,29,27,2,3529.67,95301.22
196,Michaela Crosby,rebecca81@example.org,0.402,27,10,17,4366.66,43666.61
197,Thomas Hill,sarahbishop@example.net,0.937,38,35,3,1303.78,45632.37
198,Donna Miller,wwright@example.com,0.668,15,10,5,2463.36,24633.56
199,Sean Hodges,adelgado@example.org,0.78,8,6,2,3900.42,23402.55
200,Tammy Nguyen,pfitzpatrick@example.org,0.584,24,14,10,4620.07,64680.98
201,Austin Stanley,davidreyes@example.org,0.84,17,14,3,3115.07,43610.99
202,Katie Ward,collinsjill@example.org,0.956,22,21,1,2993.46,62862.72
203,Paula Cole,anthony22@example.com,0.847,8,6,2,2430.07,14580.44
204,Leslie Thomas,mmaldonado@example.com,0.771,11,8,3,3535.91,28287.3
205,Stephanie Jacobs,sandymiles@example.com,0.865,46,39,7,883.98,34475.17
206,John Delgado,richardsjohn@example.net,0.506,32,16,16,4717.94,75487.04
207,Craig Russell,vgraham@example.org,0.67,13,8,5,577.18,4617.41
208,Stephanie Berry,justinblevins@example.org,0.716,15,10,5,1160.72,11607.21
209,Lisa Roberts,andrew34@example.net,0.571,6,3,3,3054.93,9164.78
210,Jonathan Mccormick,teresabrewer@example.com,0.895,8,7,1,3627.62,25393.32
211,Jason Clarke,dakotahansen@example.net,0.665,20,13,7,2854.41,37107.29
212,Michelle Reyes,usparks@example.net,0.701,42,29,13,2305.31,66854.12
213,Miguel Lawrence,diazmelanie@example.com,0.633,19,12,7,4884.15,58609.84
214,Elizabeth Johnson,brent01@example.org,0.752,44,33,11,2865.75,94569.59
215,Brandon Little,yolandadavid@example.com,0.673,35,23,12,1258.69,28949.95
216,Angela Brown,shamilton@example.com,0.675,21,14,7,3690.41,51665.76
217,Tyler Velazquez,whitevirginia@example.com,0.943,20,18,2,2623.26,47218.6
218,Frank Murray,alexanderkathleen@example.org,0.277,34,9,25,2536.01,22824.1
219,Todd Burns,petergriffin@example.org,0.794,12,9,3,2042.47,18382.2
220,Debbie Perkins,kevin83@example.org,0.86,36,30,6,4563.36,136900.68
221,Kathryn Robinson,dustin99@example.com,0.743,47,34,13,3046.01,103564.28
222,Michael Ruiz,karalowery@example.net,0.814,25,20,5,4853.18,97063.58
223,Tiffany Martinez,ramostara@example.com,0.915,36,32,4,4855.14,155364.51
224,Kelsey Tyler,gray@example.net,0.812,30,24,6,899.63,21591.16
225,Phillip Monroe,gordonsmith@example.org,0.486,20,9,11,2020.92,18188.29
226,Laura Deleon,nathan72@example.com,0.672,44,29,15,2342.57,67934.52
227,Jeanne Sutton,williamyoung@example.net,0.23,14,3,11,474.02,1422.05
228,Rachel Patton,eroberson@example.net,0.886,5,4,1,695.88,2783.53
229,Joseph Sexton,kimberly18@example.com,0.783,43,33,10,283.42,9352.96
230,Amber Meadows,arellanocathy@example.com,0.838,43,36,7,2546.46,91672.69
231,Crystal Lindsey,aprilkane@example.net,0.612,8,4,4,4855.58,19422.31
232,Kevin Dixon,foliver@example.org,0.737,22,16,6,1425.47,22807.54
233,Michelle Thompson,briansteele@example.org,0.864,18,15,3,3165.67,47485.0
234,Mr. Michael Thompson,ywilliams@example.org,0.816,46,37,9,4609.65,170557.18
235,Paul Vasquez,tracyolsen@example.org,0.616,2,1,1,4997.19,4997.19
236,Charles Austin,amyrobinson@example.net,0.861,9,7,2,634.31,4440.18
237,Sara Bray,david61@example.org,0.722,4,2,2,3404.45,6808.9
238,James Cole,kenneth28@example.com,0.532,11,5,6,2003.23,10016.13
239,Janet Higgins,brendaramirez@example.net,0.93,7,6,1,2904.51,17427.04
240,Kristy Torres,wellsdavid@example.net,0.542,35,18,17,1290.89,23236.1
241,Timothy Mitchell,sherrismith@example.com,0.609,46,28,18,2602.14,72859.85
242,Chloe Silva,fberry@example.net,0.957,43,41,2,3871.44,158729.03
243,Emily Berg,pwallace@example.org,0.788,15,11,4,1146.34,12609.74
244,John Jackson,jessica97@example.org,0.831,46,38,8,1674.99,63649.69
245,Joel Turner,jessica78@example.net,0.946,18,17,1,2119.54,36032.26
246,William Reynolds,christiangeorge@example.com,0.757,44,33,11,1070.9,35339.83
247,Mary Gaines,stewartraymond@example.org,0.89,42,37,5,4605.21,170392.84
248,Jeffrey Chavez,faulknerjennifer@example.net,0.695,13,9,4,3087.74,27789.63
249,Crystal Manning,rhonda05@example.org,0.49,10,4,6,1038.91,4155.65
250,Hannah Griffin,stephanie86@example.net,0.746,27,20,7,3946.52,78930.45
251,Michael Carlson,taylormay@example.com,0.8,18,14,4,3879.95,54319.29
252,Joshua Villegas,gibsonrichard@example.org,0.931,44,40,4,4341.43,173657.04
253,Henry Hunt,danderson@example.org,0.522,10,5,5,1433.04,7165.21
254,Mrs. Jessica Olson,qmendoza@example.com,0.773,42,32,10,2255.36,72171.46
255,Sandra Hall,edwardsdawn@example.org,0.45,46,20,26,1471.5,29429.96
256,Eric Taylor,sherri66@example.net,0.966,6,5,1,1903.98,9519.91
257,Cynthia Zimmerman,davidrodriguez@example.com,0.912,27,24,3,3272.81,78547.38
258,Stephen Gonzalez,mclaughlinjonathan@example.net,0.49,3,1,2,1113.56,1113.56
259,Christopher Williams,flemingkrystal@example.net,0.935,8,7,1,2986.28,20903.96
260,Lauren Christensen,april82@example.org,0.748,30,22,8,2361.78,51959.17
261,Anthony Griffin,markedwards@example.com,0.459,16,7,9,2036.13,14252.88
262,Kenneth Barnes,davidbeck@example.com,0.526,22,11,11,627.8,6905.77
263,Michael Arellano,hdavis@example.org,0.624,34,21,13,502.92,10561.39
264,April Miller,cschneider@example.com,0.773,2,1,1,4697.4,4697.4
265,David White,etaylor@example.com,0.416,4,1,3,4392.02,4392.02
266,Taylor Roberts,turnerkyle@example.com,0.842,42,35,7,2605.53,91193.7
267,Jay Smith,margaret24@example.net,0.984,42,41,1,4366.67,179033.56
268,Samantha Hays DVM,nlee@example.org,0.701,21,14,7,309.89,4338.47
269,Sarah Gilbert,pamela81@example.com,0.782,10,7,3,4147.91,29035.35
270,Karen Wagner,christinehorton@example.com,0.609,3,1,2,4773.43,4773.43
271,Charlotte Peterson,joannapatterson@example.net,0.639,4,2,2,848.8,1697.6
272,Dana Mcdonald,thomas23@example.org,0.662,13,8,5,4694.96,37559.65
273,Jesus Brewer,nathanielbarnes@example.net,0.598,43,25,18,3174.02,79350.55
274,Richard Porter,zmanning@example.org,0.559,10,5,5,1216.43,6082.13
275,Leslie Burns,dlee@example.org,0.856,23,19,4,1348.06,25613.23
276,Jeremy Moran,ngraham@example.net,0.726,4,2,2,3239.31,6478.62
277,Taylor Flynn,johnsongina@example.net,0.787,36,28,8,2729.8,76434.37
278,Christopher Roman,pettykimberly@example.org,0.661,35,23,12,1965.24,45200.63
279,Lindsay Ramsey,kwilson@example.net,0.858,2,1,1,842.26,842.26
280,Susan Gonzales,nichole84@example.net,0.872,39,34,5,3170.95,107812.35
281,Lisa York,cbarnes@example.net,0.863,37,31,6,4805.97,148985.0
282,Jennifer Reid,clynch@example.org,0.635,26,16,10,810.56,12968.94
283,Raymond Mcgee,stevengonzalez@example.net,0.609,29,17,12,2093.49,35589.26
284,Mark Bishop,smallkenneth@example.com,0.859,17,14,3,3361.72,47064.11
285,Breanna Washington,robert21@example.org,0.777,40,31,9,2415.09,74867.85
286,Jamie Brady,isimmons@example.org,0.69,15,10,5,4469.08,44690.76
287,Linda Greene,lauriemyers@example.net,0.827,23,19,4,3465.09,65836.77
288,Jonathan Lewis,catherinesmith@example.net,0.672,5,3,2,2641.18,7923.54
289,Tina Schneider,zachary23@example.net,0.836,32,26,6,529.82,13775.36
290,William Lyons,jwelch@example.net,0.511,8,4,4,3892.27,15569.08
291,Kimberly Jones,patrickpierce@example.net,0.856,4,3,1,3918.24,11754.73
292,Nicole Lewis,marissa87@example.net,0.782,21,16,5,801.12,12817.94
293,Nicholas Harris,charlesmclaughlin@example.com,0.746,16,11,5,4096.49,45061.44
294,Donald Anderson,meganhenderson@example.org,0.693,9,6,3,1986.4,11918.41
295,Kimberly Reese,christophertravis@example.org,0.835,21,17,4,3444.71,58560.15
296,Robert Jackson,frank64@example.net,0.707,30,21,9,4334.58,91026.1
297,Sarah King,allengonzalez@example.com,0.891,40,35,5,2877.5,100712.62
298,Robert Moore,teresa42@example.com,0.901,13,11,2,991.11,10902.22
299,Terry Ortega,tsmith@example.net,0.853,23,19,4,4235.37,80472.12
300,Judy Bruce,brittanygutierrez@example.com,0.519,19,9,10,927.53,8347.8
301,Lucas Henderson,gonzalezsharon@example.net,0.865,8,6,2,2415.48,14492.86
302,Leslie Clarke,joannabryant@example.org,0.842,10,8,2,3763.27,30106.17
303,Tina Hart,lindasteele@example.net,0.604,9,5,4,2860.29,14301.44
304,Miguel Miles,tinawoodward@example.com,0.782,19,14,5,4982.4,69753.67
305,Dustin Perkins,rosstorres@example.org,0.914,40,36,4,1056.19,38022.78
306,Emily Lee,lori13@example.org,0.877,17,14,3,3023.37,42327.19
307,Rhonda Rocha,hpowell@example.org,0.787,4,3,1,453.46,1360.38
308,Robert Cooper,jeffrey52@example.org,0.518,19,9,10,2591.63,23324.65
309,Michael Johnson,gibsonaaron@example.com,0.86,38,32,6,1207.24,38631.73
310,Christopher Miller,mtucker@example.net,0.971,49,47,2,2283.29,107314.77
311,Justin Brooks,reidmadeline@example.org,0.7,11,7,4,3721.36,26049.49
312,Robert Thompson,xlewis@example.org,0.497,47,23,24,768.01,17664.32
313,Marvin James,wrowe@example.org,0.687,16,10,6,1174.09,11740.95
314,Brian Matthews,roywilliams@example.org,0.728,6,4,2,2686.78,10747.11
315,Brian Flores,qwilliams@example.net,0.733,37,27,10,2508.35,67725.42
316,Monica Martin,taylorbrittany@example.org,0.694,39,27,12,4538.78,122547.17
317,Melissa Keith,yangkelly@example.com,0.802,25,20,5,4791.75,95835.0
318,Michael Harris,iharris@example.net,0.647,35,22,13,1522.94,33504.66
319,Paul Callahan,ledouglas@example.com,0.728,25,18,7,3928.21,70707.79
320,Stephanie Jefferson,kyoung@example.com,0.829,43,35,8,868.38,30393.22
321,Anita Navarro,thorntonkara@example.org,0.945,18,17,1,3715.75,63167.82
322,Brittney Long,wagnerdavid@example.org,0.432,14,6,8,3707.94,22247.64
323,Jorge Humphrey,matthewharrison@example.org,0.572,24,13,11,1823.66,23707.62
324,Timothy Osborne,jwebb@example.org,0.71,22,15,7,2893.87,43408.04
325,Nicole Wilcox,tyrone73@example.net,0.874,17,14,3,3141.92,43986.89
326,Lauren Palmer,cartermelissa@example.net,0.784,22,17,5,4279.88,72757.99
327,Samuel Allen,lthomas@example.com,0.987,22,21,1,1594.82,33491.23
328,Adrian Martin,barberautumn@example.org,0.683,49,33,16,1166.55,38496.02
329,Richard Richards,mcbrideanthony@example.org,0.736,22,16,6,286.14,4578.23
330,Kevin Miller,zhodges@example.net,0.806,41,33,8,2888.87,95332.87
331,Grant Berg,marcus54@example.net,0.519,3,1,2,4564.26,4564.26
332,Ashley Summers DDS,elizabeth06@example.org,0.938,25,23,2,2107.43,48470.91
333,Lauren Harrington,bradleyamanda@example.net,0.911,8,7,1,1578.26,11047.84
334,Robyn Wilson,schroedertanya@example.com,0.431,47,20,27,1140.04,22800.72
335,Whitney Powell MD,ebender@example.com,0.682,16,10,6,4314.46,43144.6
336,Carl Lopez,steventaylor@example.net,0.634,1,0,1,360.24,0.0
337,Calvin Williams,bchristensen@example.org,0.908,30,27,3,3153.43,85142.62
338,Michael Figueroa,qaguilar@example.org,0.527,21,11,10,3680.89,40489.8
339,Jason Howard,heather42@example.org,0.867,20,17,3,4473.24,76045.06
340,Jessica Hardy,jpatterson@example.org,0.803,38,30,8,2795.81,83874.3
341,John Ramos,harpermary@example.org,0.438,44,19,25,1707.49,32442.34
342,Cynthia Garcia,ievans@example.org,0.861,48,41,7,3617.67,148324.36
343,Jocelyn Brown,marshallarthur@example.org,0.749,11,8,3,3325.51,26604.07
344,Theresa Hopkins,vbell@example.org,0.353,15,5,10,1419.08,7095.4
345,Monique West,kirbyjoy@example.com,0.811,6,4,2,4307.54,17230.16
346,Dr. Frank Franco,duncanchristian@example.net,0.843,4,3,1,4358.66,13075.97
